old_name,new_name
ce_Account,accounts
ce_Action,actions
ce_activity,Activities
ce_Activity_Application,activity_applications
ce_Activity_Category,activity_categories
ce_Activity_CategoryLMS,activity_categorylms
ce_Activity_Comment,activity_comments
ce_Activity_Committee,activity_committees
ce_Activity_Credit,activity_credits
ce_Activity_Faculty,activity_faculties
ce_Activity_FinBudget,activity_finbudgets
ce_Activity_FinFee,activity_finfees
ce_Activity_FinLedger,activity_finledgers
ce_Activity_FinSupport,activity_finsupports
ce_Activity_Note,activity_notes
ce_Activity_Other,activity_others
ce_Activity_PubComponent,activity_pubcomponents
ce_Activity_PubGeneral,activity_pubgenerals
ce_Activity_Site,activity_sites
ce_Activity_SpecialtyLMS,activity_specialtylms
ce_activity_tag_relates,activity_tag_relates
ce_activity_tags,activity_tags
ce_Activity_Vote,activity_votes
ce_Agenda,agendas
ce_AssessAnswer,assessanswers
ce_Assessment,assessments
ce_AssessQuestion,assessquestions
ce_AssessResult,assessresults
ce_AssessSection,assesssections
ce_AssessTmpl,assesstmpls
ce_Attendee,attendees
ce_AttendeeCDC,attendeecdcs
ce_AttendeeCredit,attendeecredits
ce_Category,categories
ce_Cert,certs
ce_Comment,comments
ce_File,files
ce_History,histories
ce_person,Users
ce_Person_Address,user_addresses
ce_Person_Degree,user_degrees
ce_Person_Email,user_emails
ce_Person_Interest_Except,user_interest_excepts
ce_Person_Note,user_notes
ce_Person_Pref,user_prefs
ce_Person_SpecialtyLMS,user_specialties
ce_Sys_ActivityType,sys_activitytypes
ce_Sys_AddressType,sys_addresstypes
ce_Sys_AssessQuestionType,sys_assessquestiontypes
ce_Sys_AssessResultStatus,sys_assessresultstatuses
ce_Sys_AssessType,sys_assesstypes
ce_Sys_AttendeeStatus,sys_attendeestatuses
ce_Sys_CategoryLMS,sys_categorylms
ce_Sys_CBAFund,sys_cbafunds
ce_Sys_CBOFund,sys_cbofunds
ce_Sys_Component,sys_components
ce_Sys_Country,sys_countries
ce_Sys_Credit,sys_credits
ce_Sys_Degree,sys_degrees
ce_Sys_EmailStyle,sys_emailstyles
ce_Sys_EntryType,sys_entrytypes
ce_Sys_Ethnicity,sys_ethnicities
ce_Sys_FileType,sys_filetypes
ce_Sys_FunRC,sys_funrcs
ce_Sys_FunRN,sys_funrns
ce_Sys_Grouping,sys_groupings
ce_Sys_HistoryStyle,sys_historystyles
ce_Sys_HistoryType,sys_historytypes
ce_Sys_Market,sys_markets
ce_Sys_OccClass,sys_occclasses
ce_Sys_OrgType,sys_orgtypes
ce_Sys_PersonStatus,sys_personstatuses
ce_Sys_PrinEmp,sys_prinemps
ce_Sys_ProfC,sys_profcs
ce_Sys_ProfN,sys_profns
ce_Sys_Report,sys_reports
ce_Sys_Role,sys_roles
ce_Sys_SiteLMS,sys_sitelms
ce_Sys_SpecialtyLMS,sys_specialtylms
ce_Sys_State,sys_states
ce_Sys_Status,sys_statuses
ce_Sys_StepStatus,sys_stepstatuses
ce_Sys_Supporter,sys_supporters
ce_Sys_SupportType,sys_supporttypes
ce_Tally,tallies
